district,gender,race,major_award_count,allegation_count,sustained_count,unsustained_count,birth_year
18,M,White,0,5,0,2,1945
19,F,White,0,1,0,1,1948
23,M,White,0,0,0,0,1929
5,M,White,0,2,0,1,1945
24,M,Black,0,34,1,20,1959
18,M,White,0,7,1,4,1948
17,M,White,0,14,1,7,1954
1,M,White,0,1,0,0,1946
11,M,White,0,1,1,0,1942
17,M,White,2,10,0,6,1959
25,M,White,0,5,1,2,1961
5,M,Black,0,4,1,1,1936
11,M,White,0,2,2,0,1945
14,M,White,0,6,0,4,1962
5,M,Black,0,2,0,0,1941
1,M,White,0,4,1,2,1946
14,M,White,0,5,1,4,1950
14,F,White,0,38,2,25,1961
8,F,White,0,7,2,3,1938
9,M,White,0,21,1,12,1955
5,M,White,0,17,2,11,1957
7,M,White,0,8,1,4,1954
19,M,White,0,20,1,10,1949
12,M,White,0,9,4,5,1950
5,M,White,0,1,1,0,1940
2,M,Black,0,2,1,0,1938
5,M,Black,0,6,1,2,1940
19,M,White,0,20,1,9,1951
5,M,Black,0,5,2,1,1937
10,M,White,1,8,3,4,1938
7,M,White,0,9,1,4,1947
24,M,White,0,54,13,21,1947
20,F,White,0,13,2,7,1959
9,M,White,0,30,1,14,1961
6,M,White,0,11,1,6,1948
5,M,White,1,41,1,25,1956
3,M,Black,0,6,4,1,1944
13,M,White,0,4,2,1,1936
22,M,Black,0,15,7,6,1944
12,F,Hispanic,0,6,2,3,1959
5,M,Black,0,12,4,2,1960
10,M,White,1,17,7,3,1953
25,M,White,0,5,1,2,1945
16,M,White,0,8,3,3,1935
6,M,White,0,24,3,7,1952
8,M,White,0,18,1,10,1959
11,M,Black,0,11,4,2,1948
1,M,White,1,14,1,7,1959
19,M,White,0,9,1,4,1960
1,M,White,0,39,5,19,1958
22,M,White,0,6,1,5,1951
10,M,Hispanic,1,4,2,1,1942
23,M,White,0,8,1,5,1944
12,M,White,0,11,1,7,1960
5,M,Hispanic,2,9,1,3,1951
4,M,White,1,10,1,4,1954
8,M,White,0,17,1,8,1957
10,M,White,1,24,2,17,1960
7,M,White,0,6,1,4,1944
2,M,Black,0,8,2,4,1943
10,M,White,1,8,2,2,1934
4,M,Black,1,41,7,14,1960
5,F,White,0,8,2,1,1959
4,M,White,1,16,2,9,1953
15,M,White,0,4,2,2,1942
3,M,Black,0,31,1,21,1946
5,F,White,1,10,2,6,1965
12,M,White,0,1,0,0,1920
21,M,White,0,1,0,0,1929
23,M,White,0,1,0,1,1931
