district,blackpop,whitepop,hispanicpop,asianpacificislanderpop,nativepop,otherpop,blackpoppercent,whitepoppercent,hispanicpoppercent,asianpacificislanderpoppercent,nativeamericanpoppercent,otherpoppercent
1527,4782,55743,62232,17373,321,3645,3.3186209193870753,38.6846269153897402,43.1878747501665556,12.056545636242505,0.2227681545636242505,2.5295636242504997
1528,9909,49420,16519,12792,223,2416,10.8557280425946822,54.1416974331445349,18.0972622399456611,14.0141763165678853,0.24430591921471532335,2.6468300485325212
1531,13305,150551,20025,12277,308,4320,6.6264580199814728,74.9808253563495463,9.9733049116970307,6.1144701323797476,0.15339714920362973514,2.1515444303885729
1532,33033,29371,133005,3086,214,1682,16.4842732458044523,14.6568458663313223,66.3727412907765319,1.5399893208776841,0.10679122315872469322,0.83935905305128473834
1533,8027,49809,54039,3604,189,2070,6.8176799334114729,42.3049482749834378,45.8976711002395149,3.0610338208564779,0.16052591346888854915,1.7581409570402079
1534,68787,262,1167,56,136,663,96.7863122792700257,0.36864543906797427924,1.6420199518791068,0.07879444499162809022,0.19135793783681107625,0.93286994695445399671
1535,71010,1472,1123,312,169,1149,94.3842626437163554,1.9565361866152721,1.4926563434571675,0.41470060477171529208,0.22462949425134578321,1.5272147271881438
1536,76399,9925,35381,258,223,1389,61.8239935261986648,8.0315597815092049,28.6311956301840987,0.20878009306089419381,0.18045721221930002023,1.1240137568278373
1537,88525,312,914,61,164,865,97.4504904173225746,0.34345724947986041545,1.00615360905318083244,0.06715029557138296584,0.18053522088043944915,0.95221320769256172873
1539,62094,34863,3318,352,112,1202,60.9117038286852199,34.1991936512296328,3.2548238687083705,0.34529777027888680707,0.10986747236146398407,1.179113408736426
1540,70064,843,2524,38,118,809,94.1771062960374214,1.1331254368514436,3.3926555191139309,0.05107801494704016345,0.15861067799344050755,1.0874240550567235
1541,25322,60488,29746,20796,351,4335,17.9540265743983891,42.88773238418015,21.0907698634410584,14.7449623505721862,0.24886909910804180434,3.0736397283001744
1542,2022,138045,45438,10711,299,2967,1.0136252894998045,69.201732487141697,22.7779950070683069,5.3694067635175104,0.14988821046510462097,1.4873522423075766
1543,52219,51491,139854,2001,247,1561,21.1094177618414297,20.8151253370416335,56.5356768927894313,0.8088999203631762561,0.09984921555707373076,0.63103087240725544017
1544,10681,88418,5806,9775,108,2253,9.1258618774617442,75.5444673234165805,4.9606548132705633,8.3517741646089832,0.09227535649900462231,1.9249664647431242
1545,23039,51775,42329,8148,185,2393,18.0176586975732977,40.4906584082146572,33.1034105217058083,6.3721464936771227,0.1446793202418099774,1.8714465585873042
1546,59671,1664,8118,329,73,619,84.6709424752390953,2.3611544683145557,11.5191418111644011,0.46683883417998126969,0.10358430059312654312,0.87833811050884013963
1547,55468,959,2265,174,107,485,93.2893807393454203,1.6129032258064516,3.8094116855595546,0.29264354670523731037,0.17995896262908271385,0.81570183995425342258
1548,39440,4300,73441,239,144,529,33.3974071282802537,3.6411980388338005,62.1891221325565444,0.20238286773983216617,0.12193779478885285326,0.44795203780071638454
1549,13452,32952,3766,10790,95,1726,21.4268648157882162,52.4872174702537392,5.9986301588060082,17.1867284688042561,0.1513196667781653685,2.749239419569615
1550,19044,24307,94610,25894,173,1173,11.5277752555977264,14.713591322086428,57.2696291184678059,15.6742392600529052,0.10472091573295561165,0.71004412806217880037
1551,65993,17747,3242,5837,138,2482,69.146784857343434,18.5951235867936588,3.3969341673739247,6.1159484068357799,0.14459497689623738723,2.6006140047569652
